`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 76, 'id': '56e1aff7cd28a01900c67a69', 'loss': 0.06938827037811279, 'grad_norm': 4.739285469055176, 'input_tokens': 276, 'supervised_tokens': 3}
{'step': 77, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 0.0009217686019837856, 'grad_norm': 0.030093921348452568, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 78, 'id': '56e17644e3433e1400422f41', 'loss': 0.0017594986129552126, 'grad_norm': 0.0676913782954216, 'input_tokens': 225, 'supervised_tokens': 5}
{'step': 79, 'id': '5ad54a375b96ef001a10ac4a', 'loss': 0.00920807383954525, 'grad_norm': 1.3152796030044556, 'input_tokens': 286, 'supervised_tokens': 5}
{'step': 80, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 0.002001848304644227, 'grad_norm': 0.11602463573217392, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 81, 'id': '5ad54f775b96ef001a10ac88', 'loss': 0.0008812759188003838, 'grad_norm': 0.05466854199767113, 'input_tokens': 158, 'supervised_tokens': 5}
{'step': 82, 'id': '56e1aba0e3433e1400423095', 'loss': 0.02997378259897232, 'grad_norm': 1.2432273626327515, 'input_tokens': 283, 'supervised_tokens': 4}
{'step': 83, 'id': '56e1e9dfe3433e14004231fe', 'loss': 0.018831519410014153, 'grad_norm': 0.8866506814956665, 'input_tokens': 245, 'supervised_tokens': 6}
{'step': 84, 'id': '56e1c720e3433e140042316a', 'loss': 0.31748080253601074, 'grad_norm': 16.28148651123047, 'input_tokens': 263, 'supervised_tokens': 5}
{'step': 85, 'id': '5ad560b85b96ef001a10ad1e', 'loss': 0.0015161533374339342, 'grad_norm': 0.08351382613182068, 'input_tokens': 167, 'supervised_tokens': 5}
{'step': 86, 'id': '56e1c2eee3433e1400423136', 'loss': 0.00464677857235074, 'grad_norm': 0.17608603835105896, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 87, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.000493129133246839, 'grad_norm': 0.025359153747558594, 'input_tokens': 279, 'supervised_tokens': 5}
{'step': 88, 'id': '56e1c4fce3433e1400423151', 'loss': 0.01834883913397789, 'grad_norm': 1.9072041511535645, 'input_tokens': 171, 'supervised_tokens': 4}
{'step': 89, 'id': '56e1ce08e3433e14004231a5', 'loss': 0.7298741340637207, 'grad_norm': 10.315459251403809, 'input_tokens': 212, 'supervised_tokens': 12}
{'step': 90, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 0.01623290404677391, 'grad_norm': 7.554230690002441, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 91, 'id': '5ad542db5b96ef001a10abf5', 'loss': 0.000569054507650435, 'grad_norm': 0.030321992933750153, 'input_tokens': 204, 'supervised_tokens': 5}
{'step': 92, 'id': '56e19557e3433e1400422ff1', 'loss': 0.37088167667388916, 'grad_norm': 8.506070137023926, 'input_tokens': 170, 'supervised_tokens': 9}
{'step': 93, 'id': '5ad572b15b96ef001a10af0a', 'loss': 0.002320125699043274, 'grad_norm': 0.2639836072921753, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 94, 'id': '56e1c9bfe3433e1400423196', 'loss': 0.37083306908607483, 'grad_norm': 10.901007652282715, 'input_tokens': 207, 'supervised_tokens': 9}
{'step': 95, 'id': '5ad54a375b96ef001a10ac49', 'loss': 0.00047108568833209574, 'grad_norm': 0.03782912716269493, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 96, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 0.00211353343911469, 'grad_norm': 0.22517883777618408, 'input_tokens': 155, 'supervised_tokens': 5}
{'step': 97, 'id': '5ad537a15b96ef001a10ab9d', 'loss': 0.003699423046782613, 'grad_norm': 0.5346242785453796, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 98, 'id': '56e1b62ecd28a01900c67aa6', 'loss': 0.004353405442088842, 'grad_norm': 0.20205073058605194, 'input_tokens': 286, 'supervised_tokens': 3}
{'step': 99, 'id': '56e19557e3433e1400422fee', 'loss': 0.002291874960064888, 'grad_norm': 0.11268634349107742, 'input_tokens': 163, 'supervised_tokens': 5}
{'step': 100, 'id': '56e1aff7cd28a01900c67a69', 'loss': 0.006365472450852394, 'grad_norm': 0.5173657536506653, 'input_tokens': 276, 'supervised_tokens': 3}
{'step': 101, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 0.0004329935763962567, 'grad_norm': 0.01522308774292469, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 102, 'id': '56e17644e3433e1400422f41', 'loss': 0.000941617414355278, 'grad_norm': 0.04067664593458176, 'input_tokens': 225, 'supervised_tokens': 5}
{'step': 103, 'id': '5ad54a375b96ef001a10ac4a', 'loss': 0.001654172665439546, 'grad_norm': 0.11376828700304031, 'input_tokens': 286, 'supervised_tokens': 5}
{'step': 104, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 0.0011853307951241732, 'grad_norm': 0.08996852487325668, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 105, 'id': '5ad54f775b96ef001a10ac88', 'loss': 0.0005388218560256064, 'grad_norm': 0.039305269718170166, 'input_tokens': 158, 'supervised_tokens': 5}
{'step': 106, 'id': '56e1aba0e3433e1400423095', 'loss': 0.004134558606892824, 'grad_norm': 0.17882347106933594, 'input_tokens': 283, 'supervised_tokens': 4}
{'step': 107, 'id': '56e1e9dfe3433e14004231fe', 'loss': 0.004189539235085249, 'grad_norm': 0.12573091685771942, 'input_tokens': 245, 'supervised_tokens': 6}
{'step': 108, 'id': '56e1c720e3433e140042316a', 'loss': 0.07732484489679337, 'grad_norm': 3.5149409770965576, 'input_tokens': 263, 'supervised_tokens': 5}
{'step': 109, 'id': '5ad560b85b96ef001a10ad1e', 'loss': 0.0006820160779170692, 'grad_norm': 0.02543136477470398, 'input_tokens': 167, 'supervised_tokens': 5}
{'step': 110, 'id': '56e1c2eee3433e1400423136', 'loss': 0.002093212679028511, 'grad_norm': 0.07764001190662384, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 111, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.00029781358898617327, 'grad_norm': 0.015589660033583641, 'input_tokens': 279, 'supervised_tokens': 5}
{'step': 112, 'id': '56e1c4fce3433e1400423151', 'loss': 0.0005955056403763592, 'grad_norm': 0.05246197432279587, 'input_tokens': 171, 'supervised_tokens': 4}
{'step': 113, 'id': '56e1ce08e3433e14004231a5', 'loss': 0.6205155253410339, 'grad_norm': 15.608537673950195, 'input_tokens': 212, 'supervised_tokens': 12}
{'step': 114, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 0.0007214712677523494, 'grad_norm': 0.0734768733382225, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 115, 'id': '5ad542db5b96ef001a10abf5', 'loss': 0.0003202675434295088, 'grad_norm': 0.01177973486483097, 'input_tokens': 204, 'supervised_tokens': 5}
{'step': 116, 'id': '56e19557e3433e1400422ff1', 'loss': 0.12870508432388306, 'grad_norm': 5.453525066375732, 'input_tokens': 170, 'supervised_tokens': 9}
{'step': 117, 'id': '5ad572b15b96ef001a10af0a', 'loss': 0.0019517872715368867, 'grad_norm': 0.26569634675979614, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 118, 'id': '56e1c9bfe3433e1400423196', 'loss': 0.07500061392784119, 'grad_norm': 6.500801086425781, 'input_tokens': 207, 'supervised_tokens': 9}
{'step': 119, 'id': '5ad54a375b96ef001a10ac49', 'loss': 0.00028583366656675935, 'grad_norm': 0.020104652270674706, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 120, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 0.0016662937123328447, 'grad_norm': 0.21924139559268951, 'input_tokens': 155, 'supervised_tokens': 5}
{'step': 121, 'id': '5ad537a15b96ef001a10ab9d', 'loss': 0.0033680095802992582, 'grad_norm': 0.6329892873764038, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 122, 'id': '56e1b62ecd28a01900c67aa6', 'loss': 0.0019103661179542542, 'grad_norm': 0.10790535062551498, 'input_tokens': 286, 'supervised_tokens': 3}
{'step': 123, 'id': '56e19557e3433e1400422fee', 'loss': 0.0012468162458389997, 'grad_norm': 0.06134882569313049, 'input_tokens': 163, 'supervised_tokens': 5}
{'step': 124, 'id': '56e1aff7cd28a01900c67a69', 'loss': 0.0011042561382055283, 'grad_norm': 0.07241524010896683, 'input_tokens': 276, 'supervised_tokens': 3}
{'step': 125, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 0.00029360721237026155, 'grad_norm': 0.011193003505468369, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 126, 'id': '56e17644e3433e1400422f41', 'loss': 0.0007349250372499228, 'grad_norm': 0.042214859277009964, 'input_tokens': 225, 'supervised_tokens': 5}
{'step': 127, 'id': '5ad54a375b96ef001a10ac4a', 'loss': 0.002406246494501829, 'grad_norm': 0.32542693614959717, 'input_tokens': 286, 'supervised_tokens': 5}
{'step': 128, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 0.0012075972044840455, 'grad_norm': 0.13093528151512146, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 129, 'id': '5ad54f775b96ef001a10ac88', 'loss': 0.0004998304648324847, 'grad_norm': 0.03839969262480736, 'input_tokens': 158, 'supervised_tokens': 5}
{'step': 130, 'id': '56e1aba0e3433e1400423095', 'loss': 0.0013924215454608202, 'grad_norm': 0.06331057101488113, 'input_tokens': 283, 'supervised_tokens': 4}
{'step': 131, 'id': '56e1e9dfe3433e14004231fe', 'loss': 0.0030110508669167757, 'grad_norm': 0.12152706831693649, 'input_tokens': 245, 'supervised_tokens': 6}
{'step': 132, 'id': '56e1c720e3433e140042316a', 'loss': 0.01167387142777443, 'grad_norm': 0.35338395833969116, 'input_tokens': 263, 'supervised_tokens': 5}
{'step': 133, 'id': '5ad560b85b96ef001a10ad1e', 'loss': 0.0006424091989174485, 'grad_norm': 0.0332096703350544, 'input_tokens': 167, 'supervised_tokens': 5}
{'step': 134, 'id': '56e1c2eee3433e1400423136', 'loss': 0.0013700838899239898, 'grad_norm': 0.058321647346019745, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 135, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.00031636253697797656, 'grad_norm': 0.019247405230998993, 'input_tokens': 279, 'supervised_tokens': 5}
{'step': 136, 'id': '56e1c4fce3433e1400423151', 'loss': 0.00027184744249098003, 'grad_norm': 0.03411898389458656, 'input_tokens': 171, 'supervised_tokens': 4}
{'step': 137, 'id': '56e1ce08e3433e14004231a5', 'loss': 0.3381144106388092, 'grad_norm': 14.927176475524902, 'input_tokens': 212, 'supervised_tokens': 12}
{'step': 138, 'id': '5ad537a15b96ef001a10ab9c', 'loss': 0.0005289403488859534, 'grad_norm': 0.0535714216530323, 'input_tokens': 202, 'supervised_tokens': 5}
{'step': 139, 'id': '5ad542db5b96ef001a10abf5', 'loss': 0.00028381403535604477, 'grad_norm': 0.017317218706011772, 'input_tokens': 204, 'supervised_tokens': 5}
{'step': 140, 'id': '56e19557e3433e1400422ff1', 'loss': 0.009667839854955673, 'grad_norm': 0.6202923655509949, 'input_tokens': 170, 'supervised_tokens': 9}
{'step': 141, 'id': '5ad572b15b96ef001a10af0a', 'loss': 0.0011352805886417627, 'grad_norm': 0.13378174602985382, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 142, 'id': '56e1c9bfe3433e1400423196', 'loss': 0.004266129806637764, 'grad_norm': 0.5097050070762634, 'input_tokens': 207, 'supervised_tokens': 9}
{'step': 143, 'id': '5ad54a375b96ef001a10ac49', 'loss': 0.0002448481391184032, 'grad_norm': 0.023939060047268867, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 144, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 0.0007400918984785676, 'grad_norm': 0.11326397955417633, 'input_tokens': 155, 'supervised_tokens': 5}
{'step': 145, 'id': '5ad537a15b96ef001a10ab9d', 'loss': 0.0016178626101464033, 'grad_norm': 0.36737868189811707, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 146, 'id': '56e1b62ecd28a01900c67aa6', 'loss': 0.0011448715813457966, 'grad_norm': 0.07115213572978973, 'input_tokens': 286, 'supervised_tokens': 3}
