`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 66, 'id': '5ad5632f5b96ef001a10ad6d', 'loss': 0.03541659563779831, 'grad_norm': 4.150920391082764, 'input_tokens': 204, 'supervised_tokens': 5}
{'step': 67, 'id': '56e1aba0e3433e1400423094', 'loss': 0.618194043636322, 'grad_norm': 21.56688690185547, 'input_tokens': 281, 'supervised_tokens': 5}
{'step': 68, 'id': '56e200e4cd28a01900c67c15', 'loss': 1.0944654941558838, 'grad_norm': 42.603092193603516, 'input_tokens': 157, 'supervised_tokens': 4}
{'step': 69, 'id': '5ad566375b96ef001a10adce', 'loss': 0.004385646432638168, 'grad_norm': 0.13560010492801666, 'input_tokens': 277, 'supervised_tokens': 5}
{'step': 70, 'id': '56e1a564cd28a01900c67a4c', 'loss': 0.5031349658966064, 'grad_norm': 14.598576545715332, 'input_tokens': 199, 'supervised_tokens': 6}
{'step': 71, 'id': '5ad55fe75b96ef001a10ad0e', 'loss': 0.03223200887441635, 'grad_norm': 2.9372806549072266, 'input_tokens': 121, 'supervised_tokens': 5}
{'step': 72, 'id': '5ad560b85b96ef001a10ad20', 'loss': 0.0033896840177476406, 'grad_norm': 0.2673473656177521, 'input_tokens': 169, 'supervised_tokens': 5}
{'step': 73, 'id': '5ad54f775b96ef001a10ac89', 'loss': 0.010103734210133553, 'grad_norm': 0.8156452178955078, 'input_tokens': 157, 'supervised_tokens': 5}
{'step': 74, 'id': '5ad545545b96ef001a10ac06', 'loss': 0.001181269995868206, 'grad_norm': 0.038208819925785065, 'input_tokens': 158, 'supervised_tokens': 5}
{'step': 75, 'id': '5ad55ee35b96ef001a10ace7', 'loss': 0.001945794210769236, 'grad_norm': 0.07131152600049973, 'input_tokens': 236, 'supervised_tokens': 5}
{'step': 76, 'id': '56e1c4fce3433e1400423150', 'loss': 3.3505303859710693, 'grad_norm': 62.770320892333984, 'input_tokens': 177, 'supervised_tokens': 4}
{'step': 77, 'id': '56e190bce3433e1400422fc8', 'loss': 0.43151724338531494, 'grad_norm': 20.131723403930664, 'input_tokens': 226, 'supervised_tokens': 4}
{'step': 78, 'id': '56e1e9dfe3433e14004231ff', 'loss': 0.8930670022964478, 'grad_norm': 29.574777603149414, 'input_tokens': 245, 'supervised_tokens': 4}
{'step': 79, 'id': '56e1c7e2cd28a01900c67b75', 'loss': 0.7899587154388428, 'grad_norm': 14.96129322052002, 'input_tokens': 142, 'supervised_tokens': 5}
{'step': 80, 'id': '5ad54c2f5b96ef001a10ac5c', 'loss': 0.011356828734278679, 'grad_norm': 0.4800530672073364, 'input_tokens': 140, 'supervised_tokens': 5}
{'step': 81, 'id': '5ad546c75b96ef001a10ac0e', 'loss': 0.21135172247886658, 'grad_norm': 13.299320220947266, 'input_tokens': 278, 'supervised_tokens': 5}
{'step': 82, 'id': '56e1efa0e3433e140042321b', 'loss': 1.8030039072036743, 'grad_norm': 27.041366577148438, 'input_tokens': 161, 'supervised_tokens': 4}
{'step': 83, 'id': '56e190bce3433e1400422fc9', 'loss': 3.2294108867645264, 'grad_norm': 82.61715698242188, 'input_tokens': 223, 'supervised_tokens': 5}
{'step': 84, 'id': '5ad56c6b5b96ef001a10ae6f', 'loss': 0.0020264426711946726, 'grad_norm': 0.08090077340602875, 'input_tokens': 170, 'supervised_tokens': 5}
{'step': 85, 'id': '56e1aba0e3433e1400423097', 'loss': 0.9101191759109497, 'grad_norm': 15.967040061950684, 'input_tokens': 276, 'supervised_tokens': 5}
{'step': 86, 'id': '56e1e9dfe3433e14004231fd', 'loss': 1.7342596054077148, 'grad_norm': 36.093650817871094, 'input_tokens': 248, 'supervised_tokens': 4}
